"diagnosis_penyakit","l","p","total","pasien_perhari","status"
"1         (J06.9) Acute upper respiratory infection, unspecified","40998","44205","85203","96.8215909","1"
"2         (J00) Acute nasopharyngitis [common cold]","25847","28951","54798","62.270454545455","1"
"3         (K30) Dyspepsia","17652","33032","50684","57.595454545455","1"
"4         (Z00.0) General medical examination","24391","20412","44803","50.9125","1"
"5         (R50.9) Fever, unspecified","21463","19799","41262","46.888636363636","1"
"6         (I11.9) Hypertensive heart disease without (congestive) heart failure","11504","19697","31201","35.455681818182","1"
"7         (Z36.9) Antenatal screening, unspecified","331","27359","27690","31.465909090909","0"
"8         (A09) Diarrhoea and gastroenteritis of presumed infectious origin","11078","11463","22541","25.614772727273","0"
"9         (M79.1) Myalgia","7370","14139","21509","24.442045454545","0"
"10       (I15.9) Secondary hypertension, unspecified","6203","11649","17852","20.286363636364","0"
"11       (R51) Headache","5143","10691","15834","17.993181818182","0"
"12       (L30.9) Dermatitis, unspecified","5935","7901","13836","15.722727272727","0"
"13       (I10) WARNING!!!! DIAGNOSIS INI MASUK PROLANIS!!! Essential","4643","8933","13576","15.427272727273","0"
"14       (E11.8) Non-insulin-dependent diabetes mellitus with unspecified complications","4253","7763","12016","13.654545454545","0"
"15       (Z39.2) Routine postpartum follow-up","2463","8728","11191","12.717045454545","0"
"16       (R11) Nausea and vomiting","4766","5432","10198","11.588636363636","0"
"17       (B23.0) Acute HIV infection syndrome","5637","3070","8707","9.8943181818182","0"
"18       (K04.1) Necrosis of pulp","2886","5698","8584","9.7545454545455","0"
"19       (J02.9) Acute pharyngitis, unspecified","3821","4434","8255","9.3806818181818","0"
"20       (Z00.8) Other general examinations","2982","4192","7174","8.1522727272727","0"
"21       (L02.9) Cutaneous abscess, furuncle and carbuncle, unspecified","3125","2939","6064","6.8909090909091","0"
"22       (Z23.5) Need for immunization against tetanus alone","96","5134","5230","5.9431818181818","0"
"23       (Z27.1) Need for immunization against diphtheria-tetanus-pertussis, combined","2343","2295","4638","5.2704545454545","0"
"24       (O00.0) Abdominal pregnancy","63","4263","4326","4.9159090909091","0"
"25       (W19) Unspecified fall causing accidental injury","2642","1633","4275","4.8579545454545","0"
"26       (A15.3) Tuberculosis of lung, confirmed by unspecified means","2210","1956","4166","4.7340909090909","0"
"27       (K02.1) Caries of dentine","1260","2466","3726","4.2340909090909","0"
"28       (Z27.3) Need for immunization against diphtheria-tetanus-pertussis with","1696","1608","3304","3.7545454545455","0"
"29       (R10.4) Other and unspecified abdominal pain","1113","2124","3237","3.6784090909091","0"
